model,delay,fold,n,score,clean_f1,clean_mae,accuracy,neutral_f1,positive_f1,missing_f1,missing_mae
reference,0,0,1205,0.7531852056954289,0.6321070808705342,0.6147185673038726,0.6605809128630705,0.45960502692998206,0.7293298520452568,0.6108999144910378,0.6271770186010799
reference,0,1,1093,0.7545192873823139,0.6273750177173055,0.5955475415875334,0.6514181152790485,0.45387453874538747,0.7240704500978473,0.611154552540433,0.6126958666548327
reference,0,2,1097,0.7528180255635866,0.6385201811844087,0.6339470962911026,0.6645396536007293,0.4803001876172608,0.7400379506641366,0.6152429793204177,0.6576415691594666
defer1,1,0,1205,0.7532485802195448,0.6294993215698061,0.6162951259514418,0.6564315352697095,0.458041958041958,0.7277533039647577,0.6111461555106964,0.627893970429641
defer1,1,1,1093,0.7537115535289527,0.6265251403924226,0.5935779996425057,0.6486733760292772,0.44727272727272727,0.7170923379174853,0.6090922167985781,0.6100146584440357
defer1,1,2,1097,0.7513217846400941,0.6337140476204363,0.6236749269167359,0.6563354603463992,0.46953405017921146,0.7311004784688995,0.6105652380434682,0.64753001257968
