code,family,configuration,seed,max_epochs,selected_epoch,valid_accuracy,valid_macro_f1,valid_mae,test_accuracy,test_macro_f1,test_mae
S0,selfmm,control,17,10,3,0.6387362637362637,0.6250323863128742,0.5527708106776598,0.6588720770288858,0.6299572613070891,0.6028632700105071
S1,selfmm,aux,17,10,1,0.6401098901098901,0.6261895294688639,0.5527164028640222,0.6616231086657497,0.6331328344244369,0.6104073150921229
S2,selfmm,aux_gentle,17,10,5,0.6524725274725275,0.6353541641993949,0.574233237336707,0.6960110041265475,0.6515354787799996,0.6015831593253167
S3,selfmm,wide,17,10,2,0.6373626373626373,0.6227237144388257,0.5779822126317483,0.656121045392022,0.6186876065108781,0.6252217197065668
S4,selfmm,dropout,17,10,4,0.6332417582417582,0.6267040750023206,0.5675338591029356,0.6519944979367263,0.6297755573643302,0.6100270075434012
S5,selfmm,dropout_source_lr,17,10,3,0.6456043956043956,0.638996313157387,0.5491108864003403,0.6616231086657497,0.6388981985035147,0.5966132487051261
T0,tetfn,source50_lr1,17,10,2,0.6304945054945055,0.6262320070150668,0.5822142136416265,0.6685006877579092,0.6512598045423971,0.6010022407097863
T1,tetfn,source50_lr2,17,10,1,0.6401098901098901,0.6320940146756456,0.5730260702267105,0.656121045392022,0.6285423542816191,0.6225949754314613
