batch,family,family_label,objective,run,epoch,checkpoint_sha256,policy,native_explanation_scope,valid_accuracy,valid_macro_f1,valid_mae,valid_pearson,valid_neutral_f1,test_accuracy,test_macro_f1,test_mae,test_pearson,test_neutral_f1,special_accuracy,special_weighted_f1,special_mae,special_pearson
q3b_all20,selfmm,SELF-MM适配,macro_f1,runs/q3b_all20/reference/selfmm_dropout_source_lr,3,f3666bf51e729796f1a7e908de8b4882ae488809d90ad5193d84896b7192e1d6,"{""decision_mode"": ""regression"", ""tau_minus"": -0.05, ""tau_plus"": 0.35}",no_native_attribution,0.6456043956043956,0.638996313157387,0.5491108864003403,0.6910476846588434,0.5145413870246085,0.6616231086657497,0.6388981985035147,0.5966132487051261,0.697766566799829,0.47120418848167545,0.8,0.8584848484848484,0.36098993197083473,0.9161221688784128
q3b_all20,tetfn_source,源码TETFN适配,macro_f1,runs/q3b_all20/reference/tetfn_source50_lr2,1,494afe6e7de659de649d63e79c6108141741ca8ee3d4105190495ecab45046b3,"{""decision_mode"": ""regression"", ""tau_minus"": 0.0, ""tau_plus"": 0.55}",none,0.6401098901098901,0.6320940146756456,0.5730260702267105,0.6568850012998086,0.5011600928074246,0.656121045392022,0.6285423542816191,0.6225949754314613,0.6735115513014975,0.4354838709677419,0.7,0.7816666666666667,0.44586025178432465,0.88400005283768
q3b_all20,uncertainty,原生＋不确定性,macro_f1,runs/q3b_all20/ordinal_uncertainty/uncertainty_s17,5,fe9a0e879080c4145d2d2ac55326fce2668925c9afdd78557b3b0c90a5a3af79,"{""decision_mode"": ""classification"", ""neutral_bias"": -0.4}",dynamic_precision_weighted_contextual_readout,0.6510989010989011,0.6322642061414013,0.5396734059204187,0.6992588421704274,0.4822335025380711,0.686382393397524,0.6492693384179821,0.6006157445014398,0.7045681094404022,0.4506172839506173,0.8,0.8584848484848484,0.3389968103849412,0.9378707871034273
